group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sah bvh build perf,,,,,64296400.0,ns,5
sah bvh build perf,,,,,57492000.0,ns,5
sah bvh build perf,,,,,58611000.0,ns,5
sah bvh build perf,,,,,79539200.0,ns,5
sah bvh build perf,,,,,59887200.0,ns,5
sah bvh build perf,,,,,59537200.0,ns,5
sah bvh build perf,,,,,56703100.0,ns,5
sah bvh build perf,,,,,57190200.0,ns,5
sah bvh build perf,,,,,56802900.0,ns,5
sah bvh build perf,,,,,57197000.0,ns,5
sah bvh build perf,,,,,56187200.0,ns,5
sah bvh build perf,,,,,57671300.0,ns,5
sah bvh build perf,,,,,56714800.0,ns,5
sah bvh build perf,,,,,56022500.0,ns,5
sah bvh build perf,,,,,59816200.0,ns,5
sah bvh build perf,,,,,54769700.0,ns,5
sah bvh build perf,,,,,55423500.0,ns,5
sah bvh build perf,,,,,55038100.0,ns,5
sah bvh build perf,,,,,55479100.0,ns,5
sah bvh build perf,,,,,55097700.0,ns,5
sah bvh build perf,,,,,56238400.0,ns,5
sah bvh build perf,,,,,62524400.0,ns,5
sah bvh build perf,,,,,74244100.0,ns,5
sah bvh build perf,,,,,56223700.0,ns,5
sah bvh build perf,,,,,55528400.0,ns,5
sah bvh build perf,,,,,55439200.0,ns,5
sah bvh build perf,,,,,54765800.0,ns,5
sah bvh build perf,,,,,55001000.0,ns,5
sah bvh build perf,,,,,54341000.0,ns,5
sah bvh build perf,,,,,55616200.0,ns,5
sah bvh build perf,,,,,81503300.0,ns,5
sah bvh build perf,,,,,109154900.0,ns,5
sah bvh build perf,,,,,93392000.0,ns,5
sah bvh build perf,,,,,64933200.0,ns,5
sah bvh build perf,,,,,59794600.0,ns,5
sah bvh build perf,,,,,54613600.0,ns,5
sah bvh build perf,,,,,54924600.0,ns,5
sah bvh build perf,,,,,62043100.0,ns,5
sah bvh build perf,,,,,60877600.0,ns,5
sah bvh build perf,,,,,61509000.0,ns,5
sah bvh build perf,,,,,54285100.0,ns,5
sah bvh build perf,,,,,54477800.0,ns,5
sah bvh build perf,,,,,54872200.0,ns,5
sah bvh build perf,,,,,54858500.0,ns,5
sah bvh build perf,,,,,56011500.0,ns,5
sah bvh build perf,,,,,55390100.0,ns,5
sah bvh build perf,,,,,56869900.0,ns,5
sah bvh build perf,,,,,56788400.0,ns,5
sah bvh build perf,,,,,58867100.0,ns,5
sah bvh build perf,,,,,57980000.0,ns,5
sah bvh build perf,,,,,56374900.0,ns,5
sah bvh build perf,,,,,58326900.0,ns,5
sah bvh build perf,,,,,57617100.0,ns,5
sah bvh build perf,,,,,55818600.0,ns,5
sah bvh build perf,,,,,55585400.0,ns,5
sah bvh build perf,,,,,55952400.0,ns,5
sah bvh build perf,,,,,58175100.0,ns,5
sah bvh build perf,,,,,79276600.0,ns,5
sah bvh build perf,,,,,58245600.0,ns,5
sah bvh build perf,,,,,54231800.0,ns,5
sah bvh build perf,,,,,54722600.0,ns,5
sah bvh build perf,,,,,53718700.0,ns,5
sah bvh build perf,,,,,54385100.0,ns,5
sah bvh build perf,,,,,54130400.0,ns,5
sah bvh build perf,,,,,55676200.0,ns,5
sah bvh build perf,,,,,56915400.0,ns,5
sah bvh build perf,,,,,58469200.0,ns,5
sah bvh build perf,,,,,55434100.0,ns,5
sah bvh build perf,,,,,55062100.0,ns,5
sah bvh build perf,,,,,54752300.0,ns,5
sah bvh build perf,,,,,55378600.0,ns,5
sah bvh build perf,,,,,55402900.0,ns,5
sah bvh build perf,,,,,54491700.0,ns,5
sah bvh build perf,,,,,57179400.0,ns,5
sah bvh build perf,,,,,57059000.0,ns,5
sah bvh build perf,,,,,56587700.0,ns,5
sah bvh build perf,,,,,77428200.0,ns,5
sah bvh build perf,,,,,57042300.0,ns,5
sah bvh build perf,,,,,54173400.0,ns,5
sah bvh build perf,,,,,54884800.0,ns,5
sah bvh build perf,,,,,53793000.0,ns,5
sah bvh build perf,,,,,55080300.0,ns,5
sah bvh build perf,,,,,54049300.0,ns,5
sah bvh build perf,,,,,54522200.0,ns,5
sah bvh build perf,,,,,56001000.0,ns,5
sah bvh build perf,,,,,54716900.0,ns,5
sah bvh build perf,,,,,55305200.0,ns,5
sah bvh build perf,,,,,54508600.0,ns,5
sah bvh build perf,,,,,55286000.0,ns,5
sah bvh build perf,,,,,54710500.0,ns,5
sah bvh build perf,,,,,54978900.0,ns,5
sah bvh build perf,,,,,56293700.0,ns,5
sah bvh build perf,,,,,56115700.0,ns,5
sah bvh build perf,,,,,55661500.0,ns,5
sah bvh build perf,,,,,55404300.0,ns,5
sah bvh build perf,,,,,74513800.0,ns,5
sah bvh build perf,,,,,60700800.0,ns,5
sah bvh build perf,,,,,54648100.0,ns,5
sah bvh build perf,,,,,54045700.0,ns,5
sah bvh build perf,,,,,53939900.0,ns,5
